,,,,
,,,,
SNo,Product Name ,Category,No of Units ,Revenue Contribution in INR
Total,,,#REF!,#REF!
1,Solar Water Pumps,Solar,36,6456691
2,Solar Referigerators/Freezors,Solar,53,6242267
3,Solar Inverters,Solar,96,5260100
4,Biogas Digestors,Biogas,18,1731810
5,Solar Street Lights,Solar ,104,1672838
6,Solar Dryers,Solar,60,1295298
7,Electric Tool Bar,Green Energy - Electric,3,1083273
8,Solar Rice Mill/Dehusking Machine,Solar ,1,382480
9,Solar Water Heater,Solar ,11,376004
10,Solar Powered Sewing Machines,Solar,9,251980
11,Solar Sprayers,Solar,18,182000
12,Solar Hydroponics,Solar ,6,139500
13,Solar DC Fans,Solar ,34,84368
14,Solar Animal Protector,Solar ,2,21208
15,Solar Home Lighting Kit,Solar,2,14567
16,Solar Torches,Solar ,50,8837
17,Others,Mixed,126,2930
18,Solar Insect Killer,Solar,2,0
